date, pm25, pm10, o3, no2, so2, co
2022/9/22, 34, , , 11, , 2
2022/9/23, 38, , , 7, , 2
2022/9/24, 34, , , 9, , 2
2022/9/25, 23, , , 11, 1, 2
2022/9/26, 28, , , 16, 1, 3
2022/9/27, 42, , , 13, , 3
2022/9/28, 52, , , 17, 1, 4
2022/9/29, 50, , , 15, 1, 3
2022/9/30, 60, , , 4, 1, 3
2022/10/1, 55, , , 9, 1, 3
2022/4/2, 18, , , 11, , 2
2022/4/3, 17, , , 17, , 3
2022/4/4, 23, , , 6, , 2
2022/4/5, 12, , , 2, , 2
2022/4/6, 4, , , 6, 1, 2
2022/4/7, 7, , , 17, , 3
2022/4/8, 34, , , 12, , 2
2022/4/9, 36, , , 4, , 2
2022/4/10, 3, , , 1, , 2
2022/4/11, 2, , , 3, , 3
2022/4/12, 5, , , 4, 3, 2
2022/4/13, 11, , , 3, 1, 1
2022/4/14, 14, , , 6, 1, 1
2022/4/15, 28, , , 6, , 1
2022/4/16, 27, , , 8, , 1
2022/4/17, 23, , , 7, , 1
2022/4/18, 28, , , 12, , 1
2022/4/19, 21, , , 10, , 1
2022/4/20, 17, , , 3, , 1
2022/4/21, 26, , , 8, , 1
2022/4/22, 20, , , 7, 5, 2
2022/4/23, 42, , , 8, 1, 2
2022/4/24, 27, , , 8, 2, 2
2022/4/25, 19, , , 15, , 2
2022/4/26, 34, , , 11, , 2
2022/4/27, 33, , , 6, , 2
2022/4/28, 12, , , 9, 1, 2
2022/4/29, 22, , , 6, 1, 2
2022/4/30, 22, , , 6, , 2
2022/5/1, 30, , , 6, 1, 2
2022/5/2, 26, , , 10, 1, 2
2022/5/3, 24, , , 8, 1, 2
2022/5/4, 33, , , 13, , 2
2022/5/5, 30, , , 11, , 2
2022/5/6, 33, , , 3, 1, 2
2022/5/7, 15, , , 3, 2, 2
2022/5/8, 13, , , 3, , 2
2022/5/9, 11, , , 4, , 2
2022/5/10, 17, , , 6, , 3
2022/5/11, 32, , , 9, , 2
2022/5/12, 23, , , 11, , 2
2022/5/13, 29, , , 13, 1, 3
2022/5/14, 28, , , 2, 1, 2
2022/5/15, 12, , , 6, , 2
2022/5/16, 15, , , 5, 1, 2
2022/5/17, 12, , , 3, , 2
2022/5/18, 14, , , 7, , 2
2022/5/19, 18, , , 1, , 3
2022/5/20, 7, , , 1, , 3
2022/5/21, 13, , , 4, 1, 3
2022/5/22, 19, , , 8, 1, 3
2022/5/23, 26, , , 8, , 2
2022/5/24, 23, , , 6, 1, 3
2022/5/25, 16, , , 8, , 2
2022/5/26, 17, , , 8, 1, 1
2022/5/27, 27, , , 9, 1, 2
2022/5/28, 21, , , 3, 1, 1
2022/5/29, 10, , , 2, 1, 1
2022/5/30, 13, , , 2, , 1
2022/5/31, 15, , , 8, 1, 1
